Year,Region,Vehicle,Distance
1995,London,all_HGVs,608.7
1995,London,all_motor_vehicles,19362.5
1995,East of England,pedal_cycles,378.7
1995,East of England,two_wheeled_motor_vehicles,267.5
1995,East of England,cars_and_taxis,23980.9
1995,East of England,buses_and_coaches,268.5
1995,East of England,LGVs,3196.3
1995,East of England,all_HGVs,1847.9
1995,East of England,all_motor_vehicles,29561
1995,Yorkshire and the Humber,pedal_cycles,239.5
1995,Yorkshire and the Humber,two_wheeled_motor_vehicles,170.9
1995,Yorkshire and the Humber,cars_and_taxis,17548.3
1995,Yorkshire and the Humber,buses_and_coaches,249.4
1995,Yorkshire and the Humber,LGVs,2356.7
1995,Yorkshire and the Humber,all_HGVs,1716.2
1995,Yorkshire and the Humber,all_motor_vehicles,22041.5
1995,South East,pedal_cycles,447.4
1995,South East,two_wheeled_motor_vehicles,409.4
1995,South East,cars_and_taxis,38347.7
1995,South East,buses_and_coaches,388.6
1995,South East,LGVs,4562.1
1995,South East,all_HGVs,2152.5
1995,South East,all_motor_vehicles,45860.2
1995,West Midlands,pedal_cycles,202.4
1995,West Midlands,two_wheeled_motor_vehicles,174.7
1995,West Midlands,cars_and_taxis,21274.3
1995,West Midlands,buses_and_coaches,317.8
1995,West Midlands,LGVs,2698
1995,West Midlands,all_HGVs,1800.3
1995,West Midlands,all_motor_vehicles,26265
1995,North East,pedal_cycles,89.6
1995,North East,two_wheeled_motor_vehicles,54.5
1995,North East,cars_and_taxis,8810.9
1995,North East,buses_and_coaches,183.8
1995,North East,LGVs,1080.9
1995,North East,all_HGVs,494.5
1995,North East,all_motor_vehicles,10624.6
1996,South West,pedal_cycles,228.4
1996,South West,two_wheeled_motor_vehicles,292.4
1996,South West,cars_and_taxis,21073.9
1996,South West,buses_and_coaches,264.9
1996,South West,LGVs,2645.2
1996,South West,all_HGVs,1399.9
1996,South West,all_motor_vehicles,25676.4
1996,East Midlands,pedal_cycles,201.6
1996,East Midlands,two_wheeled_motor_vehicles,169.5
1996,East Midlands,cars_and_taxis,17360.2
1996,East Midlands,buses_and_coaches,204.9
1996,East Midlands,LGVs,2324.8
1996,East Midlands,all_HGVs,1809.9
1996,East Midlands,all_motor_vehicles,21869.3
1996,Scotland,pedal_cycles,146.4
1996,Scotland,two_wheeled_motor_vehicles,125.6
1996,Scotland,cars_and_taxis,18907.6
1996,Scotland,buses_and_coaches,361
1996,Scotland,LGVs,2499
1996,Scotland,all_HGVs,1434.1
1996,Scotland,all_motor_vehicles,23327.2
1996,Wales,pedal_cycles,81.2
1996,Wales,two_wheeled_motor_vehicles,103.8
1996,Wales,cars_and_taxis,12008.1
1996,Wales,buses_and_coaches,168.5
1996,Wales,LGVs,1604.3
1996,Wales,all_HGVs,803.2
1996,Wales,all_motor_vehicles,14687.8
1996,North West,pedal_cycles,254.9
1996,North West,two_wheeled_motor_vehicles,191.8
1996,North West,cars_and_taxis,25176.7
1996,North West,buses_and_coaches,365.4
1996,North West,LGVs,3101.8
1996,North West,all_HGVs,1985
1996,North West,all_motor_vehicles,30820.8
1996,London,pedal_cycles,290.1
1996,London,two_wheeled_motor_vehicles,375
1996,London,cars_and_taxis,16161.5
1996,London,buses_and_coaches,309.6
1996,London,LGVs,2055.5
1996,London,all_HGVs,647.2
1996,London,all_motor_vehicles,19548.9
1996,East of England,pedal_cycles,370.7
1996,East of England,two_wheeled_motor_vehicles,266.6
1996,East of England,cars_and_taxis,24592.2
1996,East of England,buses_and_coaches,272.9
1996,East of England,LGVs,3346.4
1996,East of England,all_HGVs,1886.2
1996,East of England,all_motor_vehicles,30364.3
1996,Yorkshire and the Humber,pedal_cycles,234.9
1996,Yorkshire and the Humber,two_wheeled_motor_vehicles,168.5
1996,Yorkshire and the Humber,cars_and_taxis,18047.1
